Month,BTU,Amount,Rate
Jan,7721000000,25527.62,3.30626E-06
Feb,5140000000,17094.44,3.32577E-06
Mar,6239000000,20685.33,3.31549E-06
Apr,3315000000,11165.9,3.3683E-06
May,873000000,3163.33,3.62352E-06
Jun,6000000,320.75,5.34583E-05
Jul,5000000,309.74,0.000061948
Aug,12000000,332.62,2.77183E-05
Sep,157000000,805.6,5.13121E-06
Oct,1114000000,3854.2,3.45978E-06
Nov,3442000000,10903.56,3.1678E-06
Dec,4333000000,13320.92,3.07429E-06
