Month,BTU,Amount,Rate
Jan,7691000000,25429.6,3.30641E-06
Feb,5003000000,16646.81,3.32737E-06
Mar,5136000000,17081.38,3.32581E-06
Apr,3084000000,10408.48,3.37499E-06
May,521000000,2009.25,3.85653E-06
Jun,0,0,0
Jul,0,0,0
Aug,0,0,0
Sep,4000000,306.52,0.00007663
Oct,366000000,1466.18,4.00596E-06
Nov,3074000000,9905.16,3.22224E-06
Dec,4561000000,13939.49,3.05624E-06
