Month,BTU,Amount,Rate
Jan,3902000000,9856.452,0.000002526
Feb,2614000000,6678.77,0.000002555
Mar,1081000000,2895.999,0.000002679
Apr,1698000000,4426.686,0.000002607
May,361000000,1120.183,0.000003103
Jun,12000000,260.424,0.000021702
Jul,11000000,260.612,0.000023692
Aug,14000000,268.058,0.000019147
Sep,24000000,292.92,0.000012205
Oct,65000000,401.57,0.000006178
Nov,1308000000,3543.372,0.000002709
Dec,2126000000,5457.442,0.000002567
